Input Size,delta0.5,delta1,delta10,delta50,delta100
100000,6.887488,6.43424,6.05216,6.073888,6.631424
200000,7.702304,7.075424,6.518848,6.504288,6.41936
300000,8.6808,7.67712,6.760256,6.790816,7.651904
400000,9.298112,8.259552,7.195392,8.587392,7.933888
500000,10.221408,8.774016,7.463296,7.713568,7.387488
600000,11.194368,9.648128,8.186368,7.632896,7.73504
700000,11.982944,10.35504,8.44,7.949088,8.29168
800000,12.830624,10.583968,8.819008,9.131872,8.69952
900000,14.0656,11.329344,9.023072,9.076768,8.607552
