Input Size,delta0.5,delta1,delta10,delta50,delta100
100000,0.982293689658697,1.0515293181479088,1.1033204674033734,0.968420886259345,0.8863495985176035
200000,1.0944091534169518,1.190857819969517,1.2942851252245795,1.1134365513950182,1.142812990703123
300000,1.23005437286886,1.3901754824725938,1.5576688220091073,1.5509747282211739,1.18736879082644
400000,1.3371075762477371,1.5052128735311554,1.7277679937382147,1.4481062469257258,1.3150757862979665
500000,1.4715718225903907,1.7138824456212527,1.9890064657759792,1.9228331169181367,2.0077233289583685
600000,1.570069431342618,1.820632665735778,2.144873037713428,2.2986190300509795,2.269228859837829
700000,1.6024001280486666,1.8535761329748603,2.274339218009479,2.415628937558623,2.315821039885765
800000,1.6370907603558484,1.9861345952671057,2.382225189046206,2.300776992932008,2.415096005296844
900000,1.6196451626663633,2.009976129244553,2.5209967292735778,2.5098554904124466,2.6436767387522027
