Input Size,delta0.5,delta1,delta10,delta50,delta100
100000,6.765536,6.765792,6.677472,5.88208,5.87776
200000,8.429472,8.425824,8.437248,7.242112,7.336128
300000,10.677856,10.672544,10.53024,10.532384,9.085632
400000,12.432576,12.432384,12.431968,12.435456,10.433664
500000,15.041536,15.037632,14.844544,14.831904,14.832032
600000,17.575935,17.565697,17.55872,17.54512,17.552576
700000,19.201471,19.193855,19.195423,19.202047,19.202047
800000,21.004896,21.021185,21.008863,21.010401,21.010176
900000,22.781281,22.771711,22.747135,22.781376,22.755585
