Input Size,delta0.5,delta1,delta10,delta50,delta100
1000000,14.702528,11.797792,9.25872,8.992384,8.957856
2000000,23.553728,17.742945,12.818752,12.149952,12.289952
3000000,32.515648,23.846848,14.231392,13.396384,13.328032
4000000,40.137569,23.069088,14.935776,14.561792,14.121504
5000000,38.796288,27.736832,17.639551,16.967585,16.607361
