Input Size,delta0.5,delta1,delta10,delta50,delta100
100000,0.9970221547914095,1.0539719894100226,0.8264102149668662,0.9186257861791817,0.9287245471832299
200000,1.1236517522966996,1.192315672671833,1.3012327944981752,1.136136726062539,1.135471924732259
300000,1.2453857666998853,1.3840289673536597,1.5561389641674193,1.5520154746792771,1.323555081687244
400000,1.333137721221855,1.5225961915210409,1.7553510518966187,1.7669194148863545,1.4662745276162792
500000,1.4674251267158953,1.7333365231025168,2.0471211923695303,1.1414590402326708,2.1017760355742876
600000,1.5673860968966897,1.86667743231444,2.2271522329542184,2.273569980822573,2.0849501019219017
700000,1.6101288391899142,1.8256438506699924,2.2641181320440573,2.352456286754191,2.348645175619507
800000,1.637639553429027,2.0025527339461293,2.432816580247609,2.51585299258363,2.529134526492171
900000,1.617149088645305,2.034209625195672,2.5408203760444192,2.612916201117318,2.628934661008053
