Input Size,delta0.5,delta1,delta10,delta50,delta100
100000,6.771264,6.764544,6.708256,5.903104,5.892096
200000,8.454176,8.458688,8.464384,7.341152,7.26048
300000,10.67728,10.678016,10.583936,10.680896,8.9776
400000,12.430944,12.435104,12.26864,12.423168,10.33008
500000,14.924864,15.070432,15.075328,15.070912,15.06432
600000,17.329121,17.581951,17.332447,17.337408,17.576096
700000,19.208193,19.204897,19.233919,19.214336,18.949696
800000,21.028864,21.012129,20.719423,21.026815,21.010431
900000,22.755487,22.788095,22.74144,22.450176,22.439072
