Input Size,delta0.5,delta1,delta10,delta50,delta100
100000,6.791488,6.418144,8.117344,6.426016,6.344288
200000,7.52384,7.094336,6.504896,6.461504,6.39424
300000,8.573472,7.715168,6.801408,6.881952,6.782944
400000,9.324576,8.16704,6.98928,7.030976,7.04512
500000,10.170784,8.694464,7.36416,13.2032,7.167424
600000,11.056064,9.418848,7.782336,7.625632,8.429984
700000,11.9296,10.51952,8.495104,8.167776,8.068352
800000,12.84096,10.492672,8.51664,8.357728,8.30736
900000,14.07136,11.202432,8.950432,8.592,8.535424
