Input Size,delta0.5,delta1,delta10,delta50,delta100
100000,0.971889231335388,1.051409222189025,1.1027607118477243,0.97538245494585,0.964382883997032
200000,1.1196902975222098,1.2002373616341437,1.3012004040964285,1.1280396576831775,1.1161230729714644
300000,1.2514268357620164,1.3816243586621546,1.5597601642556813,1.5512010113780026,1.3340107765094624
400000,1.3345890375645755,1.5210691491237351,1.737840427723198,1.5319607164041256,1.3003471390950443
500000,1.4803677588828978,1.7282170326239468,2.0398336190030992,2.0334204896600903,2.0319082422439254
600000,1.5729273196355522,1.8710408333446904,2.256497181474267,2.2875358123748946,2.309742113106514
700000,1.6017803166786773,1.9255038876605686,2.373170416440777,2.398446378849869,2.3660667952765575
800000,1.6358062690609554,2.0096589517511636,2.4638135616663104,2.5367119901112485,2.5319166984773296
900000,1.6568029331865244,2.0419886370163174,2.548120522974,2.623256775412874,2.6203009770523717
