Input Size,delta0.5,delta1,delta10,delta50,delta100
100000,6.760928,6.756608,6.668544,5.867776,5.864096
200000,8.41312,8.414144,8.408128,7.23808,7.230656
300000,10.679136,10.530144,10.671904,10.522752,9.095008
400000,12.425088,12.423168,12.419136,12.314464,10.428576
500000,15.07616,15.056448,15.0808,15.056096,15.07936
600000,17.324448,17.573055,17.312063,17.297504,17.55744
700000,19.204449,19.201248,18.910561,18.909121,19.113504
800000,21.008673,21.00592,20.663551,21.014528,21.01264
900000,22.775553,22.753569,22.743423,22.740992,22.398752
