Input Size,delta0.5,delta1,delta10,delta50,delta100
100000,6.95648,6.42624,6.047136,6.015872,6.080672
200000,7.513792,7.0104,6.461824,6.416512,6.478368
300000,8.533568,7.621568,6.842016,6.783616,6.817792
400000,9.310048,8.167392,7.146304,8.038368,8.01984
500000,10.184064,8.712128,7.393152,7.40432,7.42128
600000,11.014144,9.392128,7.672096,7.561632,7.601472
700000,11.98944,9.972064,7.96848,7.883904,8.078176
800000,12.843008,10.45248,8.386816,8.28416,8.299104
900000,13.746688,11.142848,8.925568,8.668992,8.54816
